   8.8900,   25.976, 12 June 2018, 12:15:26
   8.8909,   26.053, 12 June 2018, 12:15:56
   8.8941,   25.710, 12 June 2018, 12:16:27
   8.9164,   25.793, 12 June 2018, 12:16:58
   8.9129,   25.463, 12 June 2018, 12:17:29
   8.8867,   25.631, 12 June 2018, 12:18:00
   8.8717,   25.632, 12 June 2018, 12:18:31
   8.8793,   25.445, 12 June 2018, 12:19:01
   8.8877,   25.527, 12 June 2018, 12:19:32
   8.8988,   25.497, 12 June 2018, 12:20:03
   8.8991,   25.534, 12 June 2018, 12:20:34
   8.9035,   25.718, 12 June 2018, 12:21:05
   8.9059,   25.594, 12 June 2018, 12:21:36
   8.8999,   25.656, 12 June 2018, 12:22:07
   8.9125,   25.240, 12 June 2018, 12:22:37
   8.9127,   25.203, 12 June 2018, 12:23:08
   8.9144,   25.514, 12 June 2018, 12:23:39
   8.9146,   25.469, 12 June 2018, 12:24:10
   8.9130,   25.600, 12 June 2018, 12:24:41
   8.9106,   25.585, 12 June 2018, 12:25:12
   8.9086,   25.755, 12 June 2018, 12:25:42
   8.8961,   25.465, 12 June 2018, 12:26:13
   8.8904,   25.697, 12 June 2018, 12:26:44
   8.8865,   25.521, 12 June 2018, 12:27:15
   8.8863,   25.564, 12 June 2018, 12:27:46
   8.8866,   25.682, 12 June 2018, 12:28:17
   8.8876,   25.878, 12 June 2018, 12:28:47
   8.8884,   26.327, 12 June 2018, 12:29:18
   8.8907,   26.105, 12 June 2018, 12:29:49
   8.8910,   25.891, 12 June 2018, 12:30:20
   8.8916,   26.143, 12 June 2018, 12:30:51
   8.8896,   26.056, 12 June 2018, 12:31:22
   8.8861,   26.103, 12 June 2018, 12:31:53
   8.8862,   26.402, 12 June 2018, 12:32:23
   8.8849,   26.212, 12 June 2018, 12:32:54
   8.8847,   26.175, 12 June 2018, 12:33:25
   8.8853,   26.292, 12 June 2018, 12:33:56
   8.8835,   26.186, 12 June 2018, 12:34:27
   8.8884,   26.004, 12 June 2018, 12:34:58
   8.8901,   26.053, 12 June 2018, 12:35:28
   8.8958,   26.344, 12 June 2018, 12:35:59
   8.8985,   26.268, 12 June 2018, 12:36:30
   8.8890,   26.004, 12 June 2018, 12:37:01
   8.8847,   26.295, 12 June 2018, 12:37:32
   8.8857,   26.291, 12 June 2018, 12:38:03
   8.8858,   26.113, 12 June 2018, 12:38:33
   8.8870,   26.218, 12 June 2018, 12:39:04
   8.8854,   25.963, 12 June 2018, 12:39:35
   8.8862,   25.825, 12 June 2018, 12:40:06
   8.8860,   26.182, 12 June 2018, 12:40:37
   8.8844,   26.085, 12 June 2018, 12:41:08
   8.8851,   25.916, 12 June 2018, 12:41:38
   8.8856,   26.192, 12 June 2018, 12:42:09
   8.8839,   25.985, 12 June 2018, 12:42:40
   8.8851,   25.716, 12 June 2018, 12:43:11
   8.8846,   25.868, 12 June 2018, 12:43:42
   8.8831,   26.126, 12 June 2018, 12:44:13
   8.8871,   25.607, 12 June 2018, 12:44:44
   8.8842,   26.022, 12 June 2018, 12:45:14
   8.8871,   26.041, 12 June 2018, 12:45:45
   8.8960,   26.048, 12 June 2018, 12:46:16
